### ELECTROPLATING PARAMETERS ###
#Plating Start Time (month_day_year hr_min_sec): 	07_25_2022 17_10_21
#Power Supply: 		Agilent E3631A
#Max Voltage: 		18.0
#Set Current: 		0.35
#N2 Purge (Use Solenoid)?: 		


07_25_2022 17_10_21	 Power Supply Queried	 V: 5.996707482417912	 I: -0.03466309835377335
07_25_2022 17_10_28	 Power Supply Queried	 V: 5.976596909693541	 I: 0.334647801186409
07_25_2022 17_10_33	 Power Supply Queried	 V: 5.975574820201971	 I: 1.0523845335339588
07_25_2022 17_10_38	 Power Supply Queried	 V: 5.971337255889607	 I: 1.9147176333576121
07_25_2022 17_10_43	 Power Supply Queried	 V: 5.998093141772015	 I: 1.28219575021322
07_25_2022 17_10_57	 Power Supply Queried	 V: 6.032000053246915	 I: 1.1281851737985837
07_25_2022 17_11_02	 Power Supply Queried	 V: 6.045980143022285	 I: 1.6111138821832254
07_25_2022 17_11_07	 Power Supply Queried	 V: 6.044757562795669	 I: 2.234747821251493
07_25_2022 17_11_12	 Power Supply Queried	 V: 5.9961787684511725	 I: 2.213288367125098
07_25_2022 17_11_18	 Power Supply Queried	 V: 6.024551372215584	 I: 1.8916773806336136
07_25_2022 17_11_23	 Power Supply Queried	 V: 6.014621381452233	 I: 1.1118592759651087
07_25_2022 17_11_28	 Power Supply Queried	 V: 6.041915644276167	 I: 1.868938383993944
07_25_2022 17_11_38	 Power Supply Queried	 V: 6.039996535247549	 I: 1.129286731712662
07_25_2022 17_11_43	 Power Supply Queried	 V: 6.07594655003075	 I: 2.041478884680016
07_25_2022 17_11_45	 Standard Notification Sent
07_25_2022 17_11_50	 Power Supply Queried	 V: 6.0904055686149885	 I: 2.0457075576632615
07_25_2022 17_11_56	 Power Supply Queried	 V: 6.124186113324957	 I: 1.235430439009865
