### ELECTROPLATING PARAMETERS ###
#Plating Start Time (month_day_year hr_min_sec): 	07_25_2022 19_05_30
#Power Supply: 		Agilent E3631A
#Max Voltage: 		18.0
#Set Current: 		0.35
#N2 Purge (Use Solenoid)?: 		


07_25_2022 19_05_30	 Power Supply Queried	 V: 6.048125664665801	 I: 1.3288367106196501
07_25_2022 19_05_37	 Power Supply Queried	 V: 6.089304690511525	 I: 2.2292250826797586
07_25_2022 19_05_42	 Power Supply Queried	 V: 6.080073886484295	 I: 1.6110896751825072
07_25_2022 19_05_48	 Power Supply Queried	 V: 6.055719236089691	 I: 0.856106288063293
07_25_2022 19_05_55	 Power Supply Queried	 V: 6.0724823717652425	 I: 1.027688168622468
07_25_2022 19_06_01	 Power Supply Queried	 V: 6.07948406220002	 I: 1.6045753983559305
07_25_2022 19_06_07	 Power Supply Queried	 V: 6.1181269212340155	 I: 2.3101186338490347
07_25_2022 19_06_13	 Power Supply Queried	 V: 6.095150071604584	 I: 2.801196790884573
07_25_2022 19_06_20	 Power Supply Queried	 V: 6.0846989661968	 I: 1.878432022121316
07_25_2022 19_06_26	 Power Supply Queried	 V: 6.064981302713869	 I: 2.8256367553370048
07_25_2022 19_06_32	 Power Supply Queried	 V: 6.105468213746138	 I: 1.936713037205467
07_25_2022 19_06_38	 Power Supply Queried	 V: 6.096461456569719	 I: 2.1232253688992997
07_25_2022 19_06_45	 Power Supply Queried	 V: 6.086794679754567	 I: 1.4073688708197722
07_25_2022 19_06_51	 Power Supply Queried	 V: 6.097026555661668	 I: 1.8787431992110533
